"t","x","exp","diff","y"
5.1895833573117365,0.003083377276712291,"5,5,5,5",1.2924506864291492,1.2955340637058614
5.224676679242021,0.002983025151579246,"5,5,5,5",1.0846334016505015,1.0876164268020807
5.263882372262034,0.002990078821781972,"5,5,5,5",0.8915428766690822,0.8945329554908641
5.307812601348191,0.003122042679140042,"5,5,5,5",0.7154921550300262,0.7186141977091662
5.3571164088517484,0.0034141835041932864,"5,5,5,5",0.5586506899821797,0.562064873486373
5.410544610944767,0.003908876818712206,"5,5,5,5",0.4268135918269923,0.4307224686457045
5.467135048292171,0.004664558275425298,"5,5,5,5",0.3203068634493326,0.3249714217247579
5.526320927448609,0.005769687543395094,"5,5,5,5",0.2363340607052106,0.2421037482486057
5.587574518173189,0.007351871923680215,"5,5,5,5",0.1712434881871128,0.17859536011079302
5.6505317544738105,0.009596959314416793,"5,5,5,5",0.12111773718924274,0.13071469650365952
5.714879878435872,0.012770751596437289,"5,5,5,5",0.08232480941073675,0.09509556100717403
5.780389896417726,0.01725451911720364,"5,5,5,5",0.05161730588874306,0.0688718250059467
5.846881375891091,0.023593598067502802,"5,5,5,5",0.026134049547867202,0.049727647615370005
5.914230045138336,0.03257094912148184,"5,5,5,5",0.0032749768651643973,0.03584592598664624
5.9823580174056135,0.04531453506715642,"5,5,5,5",-0.0194784366753102,0.025836098391846224
6.05123706699043,0.06345981154948027,"5,5,5,5",-0.0448075428359043,0.01865226871357597
6.120887601160717,0.08939641423900174,"5,5,5,5",-0.07587728788248474,0.013519126356516998
6.191379120566992,0.12664945504360403,"5,5,5,5",-0.11678076263326845,0.009868692410335585
6.26243671199879,0.18012571850140352,"5,5,5,5",-0.1728245201970096,0.007301198304393908
6.3336991643080935,0.25663843138501996,"5,5,5,5",-0.25111639824323906,0.005522033141780915
6.405217125165255,0.36630965804774085,"5,5,5,5",-0.361997752805409,0.004311905242331817
6.476849080350971,0.5233289206334315,"5,5,5,5",-0.519800421992335,0.003528498641096524
6.54836818046689,0.7473968496874167,"5,5,5,5",-0.7443070014415165,0.003089848245900211
6.618658921219092,1.0609932274944778,"5,5,5,5",-1.0580151377179423,0.0029780897765354845
6.681653086574885,1.4523623170962823,"5,5,5,5",-1.4491436746532196,0.003218642443062767
6.7307154484459835,1.8545626375761417,"5,5,5,5",-1.8507918577944713,0.0037707797816704134
6.771652059333669,2.2738491094997006,"5,5,5,5",-2.2691673793525236,0.004681730147177126
6.809652002997066,2.7468378207632558,"5,5,5,5",-2.7406087324236794,0.006229088339576567
6.839388096104838,3.1837541554835,"5,5,5,5",-3.1754177243101442,0.00833643117335572
6.868131755769228,3.6705977507027567,"5,5,5,5",-3.658791505668439,0.011806245034317906
6.8931902088717845,4.153167816366021,"5,5,5,5",-4.136174287990124,0.01699352837589711
6.916167092880907,4.647733166207062,"5,5,5,5",-4.622631220979855,0.02510194522720726
6.936838588542787,5.13745526459406,"5,5,5,5",-5.099936386789456,0.03751887780460347
6.955709121293724,5.621201882609337,"5,5,5,5",-5.564505539693739,0.05669634291559796
6.972903405932774,6.089038163901169,"5,5,5,5",-6.002992727609559,0.0860454362916091
6.988732072756632,6.535153472216834,"5,5,5,5",-6.404158845939551,0.1309946262772831
7.003399271217093,6.949147187151747,"5,5,5,5",-6.749562665183943,0.19958452196780438
7.017136201224654,7.317686705005997,"5,5,5,5",-7.013507409452252,0.3041792955537448
7.030162579013421,7.620400533580191,"5,5,5,5",-7.156700872192076,0.4636996613881147
7.042740731990368,7.826058905956316,"5,5,5,5",-7.117960318888502,0.7080985870678133
7.055245193246104,7.883011604699197,"5,5,5,5",-6.795078820236812,1.0879327844623847
