"t","x","exp","diff","y"
3.4993037244654617,5.383038613884819,"1.5,1,3,1",-0.930918486362108,4.452120127522711
3.5866586976181996,4.018695774097531,"1.5,1,3,1",1.1428065037414363,5.161502277838967
3.6519007223632514,3.139793014585046,"1.5,1,3,1",2.215521168148811,5.355314182733857
3.7235161221419455,2.386567147575515,"1.5,1,3,1",2.8715833912391364,5.258150538814651
3.795150611393573,1.8429596734235454,"1.5,1,3,1",3.0864772296747813,4.929436903098327
3.8820401601853938,1.40081153003783,"1.5,1,3,1",2.965930201615319,4.366741731653149
3.9607603674621976,1.1425984241242257,"1.5,1,3,1",2.665956440859877,3.8085548649841026
4.043596803654091,0.9664720623967971,"1.5,1,3,1",2.2734383738831716,3.2399104362799687
4.126821572128607,0.8547725391093443,"1.5,1,3,1",1.8670173475091953,2.7217898866185397
4.215287089812866,0.7840394318530556,"1.5,1,3,1",1.459562677386796,2.2436021092398515
4.309175598046981,0.746380224567465,"1.5,1,3,1",1.0721175223060295,1.8184977468734946
4.411410086783478,0.7369900617741365,"1.5,1,3,1",0.7062564407430341,1.4432465025171706
4.523903004086042,0.7559245482762822,"1.5,1,3,1",0.3638621450425581,1.1197866933188403
4.650056480039076,0.8075721286918461,"1.5,1,3,1",0.03862418393275213,0.8461963126245983
4.783954957658872,0.8947371625287827,"1.5,1,3,1",-0.2603391029644401,0.6343980595643426
4.921762150548809,1.019602185784681,"1.5,1,3,1",-0.5410540853250011,0.47854810045968
5.0644360089945195,1.1897400417896038,"1.5,1,3,1",-0.8247624030951475,0.3649776386944563
5.211378102568943,1.414574021756411,"1.5,1,3,1",-1.1303675260001196,0.2842064957562912
5.362897775570775,1.708425767986313,"1.5,1,3,1",-1.4800740074863508,0.2283517604999623
5.518145750358183,2.087640268548862,"1.5,1,3,1",-1.8954078089171502,0.192232459631712
5.674817182028494,2.5667796673518746,"1.5,1,3,1",-2.3940136943845114,0.1727659729673632
5.827947029572573,3.146812674796669,"1.5,1,3,1",-2.9780472941275846,0.16876538066908428
5.971764739883518,3.808396975952511,"1.5,1,3,1",-3.627887377023845,0.18050959892866597
6.104361205800636,4.528705828183093,"1.5,1,3,1",-4.318190900830923,0.2105149273521699
6.224859738021992,5.274600447554765,"1.5,1,3,1",-5.01008692838703,0.2645135191677357
6.334288496015041,6.011750339719595,"1.5,1,3,1",-5.658651685276175,0.35309865444341965
6.434487247896766,6.700642801772788,"1.5,1,3,1",-6.206344242219336,0.4942985595534519
6.52810699982399,7.291856004632864,"1.5,1,3,1",-6.572766683670367,0.7190893209624972
6.618030931370974,7.707040685875999,"1.5,1,3,1",-6.6276176626384675,1.0794230232375313
6.711579831606956,7.808074978859376,"1.5,1,3,1",-6.11788238550575,1.6901925933536268
6.793655549879146,7.454386936265058,"1.5,1,3,1",-4.9745694370047575,2.4798174992603004
6.8661775342259626,6.733046311434796,"1.5,1,3,1",-3.3885707874710334,3.3444755239637627
6.938754753953694,5.700528976331711,"1.5,1,3,1",-1.4706812000832041,4.229847776248507
7.019528989409029,4.422674057351152,"1.5,1,3,1",0.5733976771760894,4.996071734527241
7.088151726532812,3.4344053303229494,"1.5,1,3,1",1.8854672681125617,5.319872598435511
7.157070995715099,2.6345052215089755,"1.5,1,3,1",2.6915637404106807,5.326068961919656
7.226754233062796,2.0330138403467384,"1.5,1,3,1",3.0456322803835976,5.078646120730336
7.305832225940747,1.5591022594663437,"1.5,1,3,1",3.0524540512164693,4.611556310682813
7.388463794617105,1.2343385111000909,"1.5,1,3,1",2.801028033982502,4.035366545082593
7.468102294240128,1.0315371328606824,"1.5,1,3,1",2.444273669999255,3.4758108028599377
7.550762335247595,0.8961988079185815,"1.5,1,3,1",2.039931654708327,2.9361304626269082
7.636244026508772,0.8099483494391131,"1.5,1,3,1",1.6331122370613023,2.4430605865004154
7.727351484786566,0.7590117110271122,"1.5,1,3,1",1.2369685787579843,1.9959802897850965
7.825393395010767,0.7376489812238555,"1.5,1,3,1",0.8625677835321063,1.6002167647559618
7.932917095776484,0.7439823454138071,"1.5,1,3,1",0.5108271944424346,1.2548095398562418
8.052495775256329,0.780392336932706,"1.5,1,3,1",0.1795496259337076,0.9599419628664136
8.185225462056515,0.8526797984018072,"1.5,1,3,1",-0.13449750301657426,0.7181822953852329
8.32033468066951,0.9597265559353757,"1.5,1,3,1",-0.41870149490966224,0.5410250610257135
8.461391853396051,1.1095564048788567,"1.5,1,3,1",-0.6997123342044228,0.40984407067443385
8.606149740793796,1.3086223104201125,"1.5,1,3,1",-0.9925565031340309,0.3160658072860816
8.755817061285274,1.5705729880988308,"1.5,1,3,1",-1.320525666581971,0.2500473215168599
8.909506020585276,1.9101877194561547,"1.5,1,3,1",-1.7043530924567971,0.20583462699935773
9.066032546812663,2.3444770665784165,"1.5,1,3,1",-2.165147897947308,0.17932916863110818
9.221420673401905,2.8814833208951702,"1.5,1,3,1",-2.7128674745267243,0.1686158463684458
9.369927437416843,3.510897123660632,"1.5,1,3,1",-3.3375530941172085,0.17334402954342362
9.50742444463693,4.208203230286859,"1.5,1,3,1",-4.013364396426119,0.19483883386073997
9.633263265393126,4.947573763397636,"1.5,1,3,1",-4.710172686919897,0.23740107647773911
9.747299912306223,5.692741767256821,"1.5,1,3,1",-5.3836132135566475,0.309128553700173
9.85127473883698,6.408161716492699,"1.5,1,3,1",-5.983705524136037,0.4244561923566613
9.947372825393638,7.0491946197475785,"1.5,1,3,1",-6.441571565111216,0.6076230546363622
10.038629779857926,7.554317475887779,"1.5,1,3,1",-6.653513630763652,0.9008038451241271
10.128848644324913,7.817685524228855,"1.5,1,3,1",-6.439670697204867,1.378014827023988
10.213075405192416,7.687845345901147,"1.5,1,3,1",-5.6251319748413025,2.062713371059845
10.28126901825537,7.2207422819777385,"1.5,1,3,1",-4.420431825913711,2.8003104560640275
10.349862363361277,6.4175660855560235,"1.5,1,3,1",-2.7723377196559107,3.645228365900113
10.41929006262446,5.371137263837273,"1.5,1,3,1",-0.9107562172393759,4.460381046597897
10.502903623695074,4.062756313464801,"1.5,1,3,1",1.0830039523908122,5.145760265855613
10.565749402509585,3.2055058159021845,"1.5,1,3,1",2.145101837181932,5.350607653084117
10.63515214587836,2.4557775471345824,"1.5,1,3,1",2.8257798489760866,5.281557396110669
10.704361946264523,1.9078093161434677,"1.5,1,3,1",3.0776878945199475,4.985497210663415
10.787193774046044,1.4593964575933638,"1.5,1,3,1",3.005085964392233,4.464482421985597
10.865915968522074,1.181068556170528,"1.5,1,3,1",2.727411323337089,3.908479879507617
10.94691536870503,0.9943530950855675,"1.5,1,3,1",2.3514283443243773,3.3457814394099445
11.028947738247652,0.8734997360529906,"1.5,1,3,1",1.9495952554615033,2.823094991514494
11.115565169383,0.7958156648363804,"1.5,1,3,1",1.543769032209711,2.3395846970460914
11.207539332773626,0.7519712671064805,"1.5,1,3,1",1.1539694537439527,1.9059407208504333
11.307319953565955,0.7366164146623085,"1.5,1,3,1",0.7848345776819078,1.5214509923442163
11.416910834693597,0.7490214485966287,"1.5,1,3,1",0.4387235275701664,1.187744976166795
11.539421542895061,0.7925617739979552,"1.5,1,3,1",0.1110738267521415,0.9036356007500967
11.672600844635852,0.8718485546978648,"1.5,1,3,1",-0.19504613423837647,0.6768024204594884
11.808789257645817,0.9870302722619577,"1.5,1,3,1",-0.47672366375542297,0.5103066085065348
11.950484701316556,1.1461086922306332,"1.5,1,3,1",-0.7582763643771631,0.3878323278534701
12.096146955908948,1.356808081877398,"1.5,1,3,1",-1.0563622684389733,0.3004458134384246
12.24660353539061,1.6331689417224386,"1.5,1,3,1",-1.3937946800661642,0.23937426165627435
12.400987684369575,1.9907344990523466,"1.5,1,3,1",-1.7916811651945095,0.19905333385783713
12.557627940871743,2.4456424790336992,"1.5,1,3,1",-2.2697618955378025,0.1758805834958969
12.71206389986797,3.002896919592685,"1.5,1,3,1",-2.834598420925608,0.1682984986670772
12.858452460072037,3.647867742712845,"1.5,1,3,1",-3.4716151898299006,0.17625255288294453
12.99367743336116,4.356530854510881,"1.5,1,3,1",-4.1549478440813274,0.20158301042955393
13.11699829021506,5.099673067707868,"1.5,1,3,1",-4.850434868451793,0.24923819925607466
13.228839913267807,5.8419510819540825,"1.5,1,3,1",-5.5135419831045205,0.3284090988495618
13.330992234711518,6.5460953021113175,"1.5,1,3,1",-6.090993948585581,0.4551013535257364
13.42584661630614,7.16550324262305,"1.5,1,3,1",-6.509073344554741,0.6564298980683092
13.51635151921474,7.631449347213789,"1.5,1,3,1",-6.652725077010287,0.9787242702035017
13.60761801016717,7.826349809149252,"1.5,1,3,1",-6.315273768375912,1.5110760407733403
13.687639692496667,7.6154561423185525,"1.5,1,3,1",-5.40455263197142,2.210903510347132
13.757366733040392,7.056731859074378,"1.5,1,3,1",-4.0590888100611515,2.997643049013227
13.826123836893945,6.1824595529298545,"1.5,1,3,1",-2.331712153995371,3.8507473989344834
13.898211047114927,5.063723281259216,"1.5,1,3,1",-0.40847331143798193,4.655249969821234
13.974401716038068,3.8896371813299844,"1.5,1,3,1",1.3160581426479627,5.205695323977947
14.038974302582767,3.042055884852203,"1.5,1,3,1",2.3176092406370583,5.359665125489261
14.107302041113888,2.3429574161327316,"1.5,1,3,1",2.8991647772994154,5.242122193432147
14.178370386063675,1.8157095901362301,"1.5,1,3,1",3.0890200403123935,4.904729630448624
14.264316059548547,1.3871717743676946,"1.5,1,3,1",2.956019621668476,4.343191396036171
14.341545281664075,1.1374822817246433,"1.5,1,3,1",2.657744476893524,3.795226758618167
14.423614848755628,0.9644562978383553,"1.5,1,3,1",2.2680528770312165,3.232509174869572
14.506054180729304,0.8543042446753061,"1.5,1,3,1",1.8654813266719246,2.7197855713472308
14.59395846325227,0.7840665170849951,"1.5,1,3,1",1.460598314456481,2.244664831541476
14.687294589086717,0.7464710861208033,"1.5,1,3,1",1.075152615951458,1.8216237020722612
14.78904503391422,0.7368503820515597,"1.5,1,3,1",0.710458581400446,1.4473089634520058
14.901038185583584,0.7553356961081322,"1.5,1,3,1",0.3688254844952953,1.1241611806034275
15.026676511806523,0.8062892840651591,"1.5,1,3,1",0.0440867277290139,0.850376011794173
15.16028712489088,0.8926685850127845,"1.5,1,3,1",-0.25488383019021343,0.637784754822571
15.297790937860366,1.0165292983041767,"1.5,1,3,1",-0.5352967427852877,0.48123255551888894
15.440230303774001,1.1854585514668456,"1.5,1,3,1",-0.8184611748109353,0.36699737665591037
15.58694217252413,1.4087424239367132,"1.5,1,3,1",-1.1230618778257648,0.2856805461109485
15.73826608415354,1.7006500361401335,"1.5,1,3,1",-1.4712839657526557,0.2293660703874777
15.893360275075377,2.07746462610386,"1.5,1,3,1",-1.884612672016678,0.1928519540871818
16.049981656097348,2.5539266328740258,"1.5,1,3,1",-2.380909149089494,0.1730174837845316
16.20321774395205,3.1314652096021587,"1.5,1,3,1",-2.9628210912832658,0.16864411831889306
16.347280426075493,3.791228366320418,"1.5,1,3,1",-3.611250081677675,0.179978284642743
16.480131953902276,4.510256800904659,"1.5,1,3,1",-4.300796508639721,0.20946029226493842
16.60090879017879,5.255844019194054,"1.5,1,3,1",-4.993109876641662,0.2627341425523922
16.710575712278672,5.993575261979241,"1.5,1,3,1",-5.643345005374874,0.35023025660436724
16.81096491422638,6.684206743571905,"1.5,1,3,1",-6.194468459675811,0.48973828389609386
16.90469593521599,7.278674684866626,"1.5,1,3,1",-6.566904735772341,0.7117699490942853
16.99465476164385,7.699788844515717,"1.5,1,3,1",-6.632197336777739,1.067591507737978
17.087861142745535,7.812267553330959,"1.5,1,3,1",-6.14369707571744,1.6685704776135195
17.170692385684593,7.468687511773722,"1.5,1,3,1",-5.009953173471242,2.45873433830248
17.243125040473522,6.758194894980481,"1.5,1,3,1",-3.438615379481615,3.3195795154988663
17.315713546644258,5.731745285262735,"1.5,1,3,1",-1.524489495058111,4.207255790204624
